SCHOOL,State,State (full),Latitude,Longitude,SCHOOLKEY,SEASON,SCHOOLDIVISION,SCHOOLCONFERENCEABBR,Phils/Brewers List,Dummy
American Beauty School,NY,NEW YORK,40.835231,-73.86071,"2,612",2019,,NY,,1
American Broadcasting School-Oklahoma City,OK,OKLAHOMA,35.43527,-97.436129,"2,613",2019,,OK,,1
American Broadcasting School-Online Program,OK,OKLAHOMA,35.435629,-97.436428,"2,614",2019,,OK,,1
American Business and Technology University,MO,MISSOURI,39.77909,-94.819981,"2,615",2019,,MO,,1
American Career College-Anaheim,CA,CALIFORNIA,33.849876,-117.975644,"2,616",2019,,CA,,1
American Career College-Long Beach,CA,CALIFORNIA,33.770254,-118.190189,"2,617",2019,,CA,,1
American Career College-Los Angeles,CA,CALIFORNIA,34.079236,-118.292282,"2,618",2019,,CA,,1
American Career College-Lynwood,CA,CALIFORNIA,33.931919,-118.201182,"2,619",2019,,CA,,1
American Career College-Ontario,CA,CALIFORNIA,34.068204,-117.583814,"2,620",2019,,CA,,1
American Christian Academy,AL,,,,37,2019,HS,AL,,1
American College for Medical Careers,FL,FLORIDA,28.470997,-81.402271,"2,621",2019,,FL,,1
American College of Acupuncture and Oriental Med,TX,TEXAS,29.735747,-95.524522,"2,622",2019,,TX,,1
American College of Barbering,KY,KENTUCKY,38.084678,-85.670147,"2,623",2019,,KY,,1
American College of Hair Design Inc,MO,MISSOURI,38.711715,-93.269026,"2,624",2019,,MO,,1
American College of Hairstyling-Des Moines,IA,IOWA,41.592188,-93.610649,"2,625",2019,,IA,,1
American College of Healthcare,CA,CALIFORNIA,33.978807,-118.224906,"2,626",2019,,CA,,1
American College of Healthcare Sciences,OR,OREGON,45.486902,-122.675858,"2,627",2019,,OR,,1
American Conservatory Theater,CA,CALIFORNIA,37.787326,-122.404945,"2,628",2019,,CA,,1
American Film Institute Conservatory,CA,CALIFORNIA,34.10846,-118.309989,"2,629",2019,,CA,,1
American Fork High School,UT,,40.387,-111.781,38,2019,HS,UT,,1
American Hair Academy,IA,IOWA,40.962643,-91.524949,"2,630",2019,,IA,,1
American Heritage School (FL),FL,FLORIDA,26.121034,-80.312225,39,2019,HS,FL,X,1
American Indian OIC Inc,MN,MINNESOTA,44.961993,-93.246166,"2,631",2019,,MN,,1
American Institute of Alternative Medicine,OH,OHIO,40.102442,-82.988733,"2,632",2019,,OH,,1
American Institute of Beauty,FL,FLORIDA,27.915072,-82.749094,"2,633",2019,,FL,,1
American Institute of Interior Design,AZ,ARIZONA,33.60486,-111.715081,"2,634",2019,,AZ,,1
American Institute of Massage Therapy,CA,CALIFORNIA,33.71488,-117.848291,"2,635",2019,,CA,,1
American Institute of Medical Sciences & Education,NJ,NEW JERSEY,40.56114,-74.437251,"2,636",2019,,NJ,,1
American Institute of Medical Technology,OK,OKLAHOMA,36.097785,-95.85261,"2,637",2019,,OK,,1
American Institute of Trucking,AZ,ARIZONA,33.442262,-112.175304,"2,638",2019,,AZ,,1
American Institute-Clifton,NJ,NEW JERSEY,40.873434,-74.130171,"2,639",2019,,NJ,,1
American Institute-Margate,FL,FLORIDA,26.243429,-80.199738,"2,640",2019,,FL,,1
American Institute-Toms River,NJ,NEW JERSEY,40.044556,-74.220894,"2,641",2019,,NJ,,1
American Institute-West Hartford,CT,CONNECTICUT,41.727016,-72.725762,"2,642",2019,,CT,,1
American InterContinental University-Atlanta,GA,GEORGIA,33.938779,-84.354907,"2,643",2019,,GA,,1
American InterContinental University-Houston,TX,TEXAS,29.728221,-95.548309,"2,644",2019,,TX,,1
American InterContinental University-Online,IL,ILLINOIS,42.0334,-88.032901,"2,645",2019,,IL,,1
American International College,MA,MASSACHUSETTS,42.112708,-72.558507,40,2019,2,Northeast-10 Conference,,1
American Jewish University,CA,CALIFORNIA,34.128099,-118.471764,"2,646",2019,,CA,,1
American Medical Academy,FL,FLORIDA,25.66273,-80.393361,"2,647",2019,,FL,,1
American Medical Sciences Center,CA,CALIFORNIA,34.147117,-118.256991,"2,648",2019,,CA,,1
American Musical and Dramatic Academy,NY,NEW YORK,40.772275,-73.987549,"2,649",2019,,NY,,1
American National University,VA,VIRGINIA,37.299714,-80.023597,"2,650",2019,,VA,,1
American National University-Canton,OH,OHIO,40.84992,-81.434131,"2,651",2019,,OH,,1
American National University-Cincinnati,OH,OHIO,39.190562,-84.473719,"2,652",2019,,OH,,1
American National University-Columbus,OH,OHIO,40.084811,-82.945951,"2,653",2019,,OH,,1
American National University-Dayton,OH,OHIO,39.700131,-84.126973,"2,654",2019,,OH,,1
American National University-Lexington,KY,KENTUCKY,38.028845,-84.419122,"2,655",2019,,KY,,1
American National University-Stow,OH,OHIO,41.160869,-81.400192,"2,656",2019,,OH,,1
American National University-Willoughby Hills,OH,OHIO,41.584599,-81.487375,"2,657",2019,,OH,,1
American National University-Youngstown,OH,OHIO,41.144911,-80.663894,"2,658",2019,,OH,,1
American Public University System,WV,WEST VIRGINIA,39.288383,-77.859781,"2,659",2019,,WV,,1
American River College,CA,CALIFORNIA,38.649734,-121.346012,"2,660",2019,,CA,,1
American Sentinel University,CO,COLORADO,39.67661,-104.831161,"2,661",2019,,CO,,1
American Trade School,MO,MISSOURI,38.72876,-90.380141,"2,662",2019,,MO,,1
